image_id,ar,num_input_candidates,num_valid_candidates,num_effective_candidates,num_cheap_kept,num_expensive_eval,selected_k,decision_type,delta_improve
sstk_image_1638519070,1:1,119,119,119,30,30,5,crop,1.2333352436897962
sstk_image_1638519070,9:16,54,54,54,30,30,5,crop,2.2039657042547134
sstk_image_1638519070,16:9,146,146,146,30,30,5,minimal_crop,0.0
sstk_image_1638519070,3:4,57,57,57,30,30,5,crop,1.6653485315081538
sstk_image_1638519070,4:3,149,149,149,30,30,5,crop,0.44137061193893645
pond5_image_136457881,1:1,128,128,128,31,31,5,minimal_crop,0.008213922192467527
pond5_image_136457881,9:16,89,89,89,30,30,5,crop,2.174976219069459
pond5_image_136457881,16:9,150,150,150,31,31,5,crop,2.1257419239651263
pond5_image_136457881,3:4,79,79,79,30,30,5,minimal_crop,0.003924876262558663
pond5_image_136457881,4:3,162,162,162,31,31,5,minimal_crop,0.0
